Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,95.10112553834915,24.541055783629417,169.84304785728455,,,,0.1,/panda/panda_link3/geometry/panda_link3
1,82.9755961894989,120.04861980676651,138.1395012140274,83.43632519245148,109.38806086778641,133.872389793396,0.026707155629992485,/panda/panda_link3/geometry/panda_link3
2,147.06265926361084,73.1116309762001,96.02318704128265,134.48087871074677,70.76293975114822,99.27143901586533,0.03068762645125389,/panda/panda_link3/geometry/panda_link3
3,80.27061820030212,112.37160861492157,66.41839444637299,80.89267462491989,103.3899113535881,73.56054335832596,0.026707155629992485,/panda/panda_link3/geometry/panda_link3
4,0.9609090629965067,66.59072637557983,36.30640730261803,1.1448489967733622,56.9886788725853,35.115957260131836,0.02248968370258808,/panda/panda_link3/geometry/panda_link3
5,-51.754310727119446,36.8327870965004,41.795965284109116,-43.679941445589066,31.661923974752426,40.48558324575424,0.02248968370258808,/panda/panda_link3/geometry/panda_link3
6,-52.22385749220848,-36.45787015557289,40.48055410385132,-42.463481426239014,-30.269118025898933,38.855161517858505,0.027122465893626213,/panda/panda_link3/geometry/panda_link3
CLIP,91.99169278144836,50.774164497852325,167.67828166484833,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
7,-15.487201511859894,101.98864340782166,67.78061389923096,-13.273940421640873,99.68206286430359,55.6851327419281,0.023798324167728424,/panda/panda_link5/geometry/panda_link5
8,-16.801590099930763,35.9170101583004,69.4766566157341,-14.537431299686432,36.21601685881615,58.23163688182831,0.021827267482876778,/panda/panda_link5/geometry/panda_link5
9,-1.031415769830346,-22.62691780924797,69.2218467593193,-0.936593918595463,-22.403620183467865,57.74981901049614,0.021827267482876778,/panda/panda_link5/geometry/panda_link5
10,-8.428223431110382,-83.4643766283989,73.46577942371368,-7.488061673939228,-83.5690051317215,61.87815219163895,0.02211560681462288,/panda/panda_link5/geometry/panda_link5
11,58.523207902908325,-112.98807710409164,32.67394006252289,46.15119472146034,-107.78719186782837,27.881627902388573,0.02710803411900997,/panda/panda_link5/geometry/panda_link5
12,-8.806545287370682,-141.80542528629303,50.177354365587234,-7.318390533328056,-132.58351385593414,42.82350093126297,0.022614682093262672,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
