Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,3.8612985517829657,-64.2448291182518,5.47973345965147,,,,0.1,/panda/panda_link3/geometry/panda_link3
1,-43.07703301310539,-40.65902531147003,37.06149756908417,-43.07703301310539,-40.65902531147003,37.06149756908417,0.0230459775775671,/panda/panda_link3/geometry/panda_link3
2,-58.05313214659691,2.872095676138997,39.347611367702484,-58.05313214659691,2.872095676138997,39.347611367702484,0.0230459775775671,/panda/panda_link3/geometry/panda_link3
3,-37.55695000290871,46.18033766746521,36.44061088562012,-37.55695000290871,46.18033766746521,36.44061088562012,0.02400077134370804,/panda/panda_link3/geometry/panda_link3
4,60.995299369096756,112.7820611000061,87.58510649204254,60.995299369096756,112.7820611000061,87.58510649204254,0.043159522116184235,/panda/panda_link3/geometry/panda_link3
5,140.0911509990692,85.65697073936462,109.01062190532684,140.0911509990692,85.65697073936462,109.01062190532684,0.043159522116184235,/panda/panda_link3/geometry/panda_link3
CLIP,2.3884016554802656,-51.90607160329819,78.89806479215622,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,-88.92331272363663,23.521488532423973,-78.81611585617065,,,,0.1,/panda/panda_link4/geometry/panda_link4
6,-110.4608029127121,18.63085851073265,-41.058897972106934,-102.15578228235245,16.466688364744186,-39.83581066131592,0.01822000928223133,/panda/panda_link4/geometry/panda_link4
7,-71.17166370153427,64.93449211120605,-40.121838450431824,-67.98209995031357,56.96409195661545,-38.9166995882988,0.01822000928223133,/panda/panda_link4/geometry/panda_link4
8,-87.85863220691681,-53.73622849583626,-43.39548945426941,-81.02856576442719,-45.48773169517517,-41.80346801877022,0.022755179554224014,/panda/panda_link4/geometry/panda_link4
9,-12.632734142243862,-98.7425446510315,-75.63121616840363,-6.823393516242504,-93.56887638568878,-80.37588745355606,0.019150743260979652,/panda/panda_link4/geometry/panda_link4
10,-12.52856757491827,-98.26141595840454,-139.4651234149933,-6.16393331438303,-94.29570287466049,-135.7593834400177,0.017580244690179825,/panda/panda_link4/geometry/panda_link4
11,39.433740079402924,-125.34819543361664,-138.93571496009827,39.60594907402992,-117.81780421733856,-135.93271374702454,0.017042700201272964,/panda/panda_link4/geometry/panda_link4
12,58.67277458310127,-125.11758506298065,-85.48416197299957,56.73886835575104,-117.59687215089798,-87.8194198012352,0.017042700201272964,/panda/panda_link4/geometry/panda_link4
CLIP,17.387820407748222,-65.29710441827774,-164.09727931022644,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
13,-15.5657222494483,103.10369729995728,67.55194813013077,-12.525890953838825,99.74633902311325,51.33339762687683,0.026918798685073853,/panda/panda_link5/geometry/panda_link5
14,-16.35485514998436,35.8419194817543,69.58095729351044,-13.490756042301655,36.23678535223007,54.75970730185509,0.024139737710356712,/panda/panda_link5/geometry/panda_link5
15,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.5552637204527855,-23.432472720742226,53.912557661533356,0.02408323809504509,/panda/panda_link5/geometry/panda_link5
16,-6.7264363169670105,-83.73847603797913,73.54578375816345,-5.778662860393524,-83.83399248123169,58.510661125183105,0.02408323809504509,/panda/panda_link5/geometry/panda_link5
17,58.187857270240784,-112.2172623872757,34.341175109148026,43.251410126686096,-106.1226949095726,28.069209307432175,0.027668995782732964,/panda/panda_link5/geometry/panda_link5
18,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7418564530089498,-129.24368679523468,42.65866056084633,0.024268081411719322,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
