Index,X,Y,Z,Radius,Parent
panda_link5.002,,,,,
,,,,,
CLIP,0.10149721056222916,-0.07483196258544922,0.6554231643676758,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
1,0.24901574850082397,-0.18633440136909485,0.6369348764419556,0.02023211680352688,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
2,0.20764371752738953,-0.142299622297287,0.6721885800361633,0.022385206073522568,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
3,0.2918044924736023,-0.22569052875041962,0.6120820045471191,0.020125901326537132,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
4,0.3107585310935974,-0.2823074460029602,0.5923119783401489,0.020125901326537132,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
CLIP,0.10670070350170135,-0.07470684498548508,0.6645349860191345,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
panda_link4.002,,,,,
,,,,,
CLIP,0.06129513680934906,-0.10453668981790543,0.7572452425956726,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
5,-0.13362103700637817,0.020749907940626144,0.689082145690918,0.021094098687171936,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
6,-0.002871752716600895,-0.05798982083797455,0.7791398763656616,0.032171137630939484,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
7,-0.07827034592628479,-0.0013834042474627495,0.728046178817749,0.021364927291870117,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
8,-0.13804025948047638,-0.022112879902124405,0.6335189938545227,0.021094098687171936,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
CLIP,0.07781155407428741,-0.09283093363046646,0.7517773509025574,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
panda_link3.002,,,,,
,,,,,
CLIP,-0.012686681933701038,0.10237419605255127,0.669837474822998,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
9,0.05089730769395828,0.11755642294883728,0.6221556663513184,0.024608511477708817,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
10,0.0984092727303505,0.04437718540430069,0.6840916872024536,0.023120135068893433,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
11,0.06561405956745148,0.10773183405399323,0.6969938278198242,0.023199014365673065,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
12,0.08697971701622009,0.049742382019758224,0.6129530668258667,0.023120135068893433,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
CLIP,-0.008787205442786217,0.09627178311347961,0.6890053749084473,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
panda_link2.002,,,,,
,,,,,
CLIP,0.027527134865522385,0.0319046750664711,0.5112970471382141,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
13,0.08966998755931854,0.08564212173223495,0.38789716362953186,0.02879972569644451,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
14,0.08767091482877731,0.09783278405666351,0.2905629277229309,0.03924601897597313,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
15,0.13271668553352356,0.017619725316762924,0.3559338450431824,0.03464498743414879,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
16,0.06623540073633194,0.037609126418828964,0.43614187836647034,0.02879972569644451,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
CLIP,0.018928352743387222,0.01664654165506363,0.5143879652023315,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
panda_link1.001,,,,,
,,,,,
CLIP,0.009287557564675808,0.06415197253227234,-0.17121745645999908,0.1,/Heat Panda/panda_link1/geometry/panda_link1
17,-0.10279484838247299,-0.08905880898237228,0.041272394359111786,0.03544756397604942,/Heat Panda/panda_link1/geometry/panda_link1
18,-0.08333535492420197,-0.09772072732448578,-0.04474860057234764,0.033494528383016586,/Heat Panda/panda_link1/geometry/panda_link1
19,-0.12538063526153564,-0.023931996896862984,-0.041459694504737854,0.03399623557925224,/Heat Panda/panda_link1/geometry/panda_link1
20,-0.03280457481741905,-0.07366394996643066,-0.10703570395708084,0.033494528383016586,/Heat Panda/panda_link1/geometry/panda_link1
CLIP,0.025694018229842186,0.05951376259326935,-0.1715686321258545,0.1,/Heat Panda/panda_link1/geometry/panda_link1
