Index,X,Y,Z,Radius,Parent
CLIP,0.060070931911468506,-0.1034616231918335,0.7525303959846497,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
1,-0.13439680635929108,0.0016077395994216204,0.6453296542167664,0.026742195710539818,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
2,-0.03924742341041565,-0.05359533056616783,0.7214621305465698,0.029509220272302628,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
3,-0.0984814465045929,-0.05172877386212349,0.6270277500152588,0.026742195710539818,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
4,-0.10667543113231659,-0.030376750975847244,0.7025723457336426,0.028476539999246597,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
CLIP,0.0752168744802475,-0.09273543953895569,0.747519850730896,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
CLIP,-0.02196737378835678,0.023695431649684906,0.5884767770767212,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
5,0.0068478453904390335,0.09956671297550201,0.5818918943405151,0.03188233822584152,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
6,0.09080037474632263,0.07045357674360275,0.655525803565979,0.02446194365620613,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
7,0.064435675740242,0.0657462626695633,0.7105045318603516,0.02446194365620613,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
8,0.04948405921459198,0.11567678302526474,0.6472802758216858,0.02472299337387085,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
CLIP,0.010169328190386295,0.056573718786239624,0.715080201625824,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
CLIP,-0.06580577045679092,0.0028501865454018116,0.5026929378509521,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
9,0.06893159449100494,0.10235186666250229,0.3532889783382416,0.024409588426351547,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
10,0.09974841773509979,0.08522918820381165,0.3034787178039551,0.024409588426351547,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
11,0.10555486381053925,0.04355160892009735,0.3843415081501007,0.02718403935432434,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
12,0.05086971074342728,0.07420656830072403,0.41057854890823364,0.026534458622336388,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
CLIP,-0.0593394935131073,-0.0006398037075996399,0.505003035068512,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
CLIP,0.00848337635397911,0.05923790484666824,0.1617828905582428,0.1,/Heat Panda/panda_link1/geometry/panda_link1
13,-0.05792173370718956,-0.03667702525854111,0.20960822701454163,0.02043105661869049,/Heat Panda/panda_link1/geometry/panda_link1
14,-0.03515956550836563,-0.06804867833852768,0.24396654963493347,0.020718267187476158,/Heat Panda/panda_link1/geometry/panda_link1
15,-0.07504329830408096,-0.09337744116783142,0.369414746761322,0.021222712472081184,/Heat Panda/panda_link1/geometry/panda_link1
16,-0.11432407051324844,-0.030794352293014526,0.2912627160549164,0.020221201702952385,/Heat Panda/panda_link1/geometry/panda_link1
17,-0.10728024691343307,-0.05282894894480705,0.38088735938072205,0.020780809223651886,/Heat Panda/panda_link1/geometry/panda_link1
18,-0.06795103847980499,-0.1028888151049614,0.3153543770313263,0.021320583298802376,/Heat Panda/panda_link1/geometry/panda_link1
19,-0.07997894287109375,-0.014389513060450554,0.2499278485774994,0.02043105661869049,/Heat Panda/panda_link1/geometry/panda_link1
20,-0.12375333160161972,-0.01627470925450325,0.3478504419326782,0.020780809223651886,/Heat Panda/panda_link1/geometry/panda_link1
21,-0.11381453275680542,-0.07574766874313354,0.31438297033309937,0.020221201702952385,/Heat Panda/panda_link1/geometry/panda_link1
CLIP,0.0006385915912687778,0.05983836203813553,0.16199523210525513,0.1,/Heat Panda/panda_link1/geometry/panda_link1
