Index,X,Y,Z,Radius,Parent
panda_link5.002,,,,,
,,,,,
CLIP,0.10149721056222916,-0.07483196258544922,0.6554231643676758,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
1,0.20492205023765564,-0.1357167661190033,0.6650285124778748,0.02400324121117592,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
2,0.24051040410995483,-0.17556491494178772,0.6377051472663879,0.02400324121117592,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
3,0.31027647852897644,-0.2867785394191742,0.594704270362854,0.026083696633577347,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
4,0.29261866211891174,-0.22696331143379211,0.613745927810669,0.026083696633577347,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
CLIP,0.10670071095228195,-0.07470684498548508,0.6645349860191345,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4/panda_link5
panda_link4.002,,,,,
,,,,,
CLIP,0.06129513680934906,-0.10453668981790543,0.7572452425956726,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
5,-0.13367027044296265,-0.004730146378278732,0.6164746284484863,0.025271743535995483,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
6,-0.10270344465970993,-0.059474799782037735,0.6224504113197327,0.025271743535995483,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
7,-0.10581788420677185,-0.0598825067281723,0.6878173351287842,0.025236820802092552,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
8,-0.13969862461090088,0.0030969721265137196,0.6859129667282104,0.02805505506694317,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
9,-0.06242392212152481,-0.03681716322898865,0.7273845076560974,0.025236820802092552,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
CLIP,0.07781155407428741,-0.09283093363046646,0.7517773509025574,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3/panda_link4
panda_link3.002,,,,,
,,,,,
CLIP,-0.02114139497280121,0.014860588125884533,0.5930880904197693,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
10,0.0152530986815691,0.1047658622264862,0.5833344459533691,0.024934858083724976,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
11,0.08244672417640686,0.10458704084157944,0.6704067587852478,0.025686684995889664,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
12,0.09058217704296112,0.047845665365457535,0.6997068524360657,0.0248578954488039,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
13,0.031540609896183014,0.12783131003379822,0.6389098167419434,0.024934858083724976,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
14,0.045443370938301086,0.08430397510528564,0.7219610214233398,0.0248578954488039,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
15,0.09963567554950714,0.05314428731799126,0.6348357200622559,0.025944912806153297,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
16,-0.07310144603252411,0.1386568248271942,0.5580654740333557,0.03917885944247246,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
CLIP,0.010213768109679222,0.057553283870220184,0.7199698686599731,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2/panda_link3
panda_link2.002,,,,,
,,,,,
CLIP,-0.06870599091053009,-0.0011377651244401932,0.5033919811248779,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
17,0.09313862025737762,0.0820295587182045,0.38905462622642517,0.028129860758781433,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
18,0.05573653802275658,0.029155584052205086,0.45599353313446045,0.035407036542892456,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
19,0.07443834841251373,0.1149321123957634,0.329781711101532,0.028129860758781433,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
20,0.018833281472325325,0.10143418610095978,0.42064785957336426,0.03321675583720207,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
21,0.13201460242271423,0.06864812970161438,0.32764527201652527,0.029560822993516922,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
CLIP,-0.06170939654111862,-0.004927814472466707,0.5058996677398682,0.1,/Heat Panda/panda_link1/geometry/panda_link1/panda_link2
panda_link1.001,,,,,
,,,,,
CLIP,0.009287558495998383,0.06415197253227234,-0.17121745645999908,0.1,/Heat Panda/panda_link1/geometry/panda_link1
22,-0.052735377103090286,-0.10414408147335052,0.031740784645080566,0.03036712482571602,/Heat Panda/panda_link1/geometry/panda_link1
23,-0.13095209002494812,-0.011436603032052517,-0.020291632041335106,0.031077807769179344,/Heat Panda/panda_link1/geometry/panda_link1
24,-0.12225092202425003,-0.08479660749435425,0.008144615218043327,0.02957030013203621,/Heat Panda/panda_link1/geometry/panda_link1
25,-0.07286562770605087,-0.03387273848056793,-0.1151861771941185,0.028214702382683754,/Heat Panda/panda_link1/geometry/panda_link1
26,-0.09903892874717712,-0.06980961561203003,-0.06042366474866867,0.028214702382683754,/Heat Panda/panda_link1/geometry/panda_link1
CLIP,0.000791115453466773,0.06481563299894333,-0.17100775241851807,0.1,/Heat Panda/panda_link1/geometry/panda_link1
